,property_type,seller,status,rate per sqft,price,area,location,RERA
0,2 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Ready to move,"6,300 / sq ft", 80.95 L,1285 ,Puppalaguda,not approval by RERA
1,3 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 64.47 L,1535 ,Bowrampet,approval by RERA
2,3 BHK Villa in Saket Bhusatva Ph II,Saket Engineers Pvt Ltd,Under Construction,"7,749 / sq ft", 2.48 Cr,3209 ,Kompally,approval by RERA
3,3 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 1.16 Cr,1840 ,Manikonda,approval by RERA
4,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,999 / sq ft", 94.98 L,1900 ,Kollur,approval by RERA
5,3 BHK Apartment in Candeur Crescent,Candeur Developers And Builders,Under Construction,"7,810 / sq ft", 1.99 Cr,2548 ,Serilingampally,approval by RERA
6,2 BHK Apartment in MKT Urban Tree,MKT Praneeth Homes,Under Construction,"3,800 / sq ft", 43.47 L,1144 ,Isnapur,approval by RERA
7,3 BHK Apartment in Vasavi Nandanam,Vasavi Group,Under Construction,"5,500 / sq ft", 1.08 Cr,1965 ,Jeedimetla,approval by RERA
8,2 BHK Apartment in Aavasa Constructions Emerald,Aavasa Constructions,Under Construction,"6,500 / sq ft", 85.15 L,1310 ,Saroor Nagar,approval by RERA
9,4 BHK Villa in RV Nirmaan Somwrita,R V Nirmaan Private Limited,Ready to move,"11,888 / sq ft", 3.64 Cr,3062 ,Kismatpur,not approval by RERA
10,3 BHK Apartment in Cybercity Oriana,Cyber City Oriana,Under Construction,"9,909 / sq ft", 2.2 Cr,2220 ,Kukatpally,approval by RERA
11,3 BHK Apartment in G K Casa Grande,G K Constructions,Under Construction,"5,752 / sq ft", 1.41 Cr,2457 ,Yapral,approval by RERA
12,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 50.01 L,1042 ,Dammaiguda,approval by RERA
13,3 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 85.18 L,1775 ,Kollur,approval by RERA
14,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"9,754 / sq ft", 4.56 Cr,4685 ,Maheshwaram,approval by RERA
15,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.2 Cr,1770 ,Manchirevula,approval by RERA
16,2 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,998 / sq ft", 64.72 L,1295 ,Kollur,approval by RERA
17,2 BHK Apartment in Syamantaka Emerald Heights,Symantaka Infra,Under Construction,"5,400 / sq ft", 61.83 L,1145 ,Bachupally,approval by RERA
18,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.55 Cr,2545 ,Yapral,approval by RERA
19,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 1.04 Cr,1800 ,Saidabad,approval by RERA
20,2 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 64.54 L,1345 ,Mallampet,approval by RERA
21,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 1.29 Cr,2594 ,Rameswaram Banda,not approval by RERA
22,4 BHK Apartment in Bhavya BHAVYAS THE EUGEN,Bhavya Constructions Pvt Ltd,Under Construction,"12,000 / sq ft", 4.86 Cr,4052 ,Madhapur,approval by RERA
23,2 BHK Apartment in Maram Mihira,Maram Infra Projects PvtLtd,Under Construction,"5,055 / sq ft", 62.93 L,1245 ,Pocharam,approval by RERA
24,4 BHK Independent House in Ridge Tranquil Valley,Ridge Homes LLP,Under Construction,"1,778 / sq ft", 84.45 L,4750 ,Maheshwaram,approval by RERA
25,4 BHK Villa in Giridhari Prospera County,Giridhari Constructions,Under Construction,"15,000 / sq ft", 7.77 Cr,5180 ,Kismatpur,approval by RERA
26,3 BHK Villa in Nest Bliss In The Woods,Nest Makers,Under Construction,"5,475 / sq ft", 2.19 Cr,4000 ,Harshaguda,approval by RERA
27,3 BHK Apartment in Vazhraa Vazhraa Prathik,Vazhraa Nirmaan Pvt Ltd,Under Construction,"6,300 / sq ft", 1.15 Cr,1835 ,Nizampet,approval by RERA
28,2 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,600 / sq ft", 82.65 L,1476 ,Bandlaguda Jagir,approval by RERA
29,4 BHK Villa in APR Praveens Crystal Avenue,APR Group,Under Construction,"7,480 / sq ft", 1.89 Cr,2540 ,Hayathnagar,approval by RERA
30,2 BHK Apartment in Adhireddy Pavan Kumar Reddy Cozy Essence Elite,Cozy Essence Builders,Under Construction,"4,000 / sq ft", 49.72 L,1243 ,Kompally,approval by RERA
31,4 BHK Independent House in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 2.65 Cr,3400 ,Begumpet,approval by RERA
32,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"5,299 / sq ft", 1.02 Cr,1935 ,Bachupally,approval by RERA
33,2 BHK Apartment in Praneeth Pranav Flora,Praneeth Group,Under Construction,"4,499 / sq ft", 51.87 L,1153 ,Bahadurpally,approval by RERA
34,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase III,EAPL Group,Under Construction,"4,999 / sq ft", 1.09 Cr,2187 ,Mallapur,approval by RERA
35,3 BHK Apartment in Primark De Stature,Primark Developers,Under Construction,"4,499 / sq ft", 93.8 L,2085 ,Kompally,approval by RERA
36,2 BHK Apartment in Beams 4 Blocks,Beams And Columns Builders Private Limited,Under Construction,"5,299 / sq ft", 69.41 L,1310 ,Kompally,approval by RERA
37,3 BHK Apartment in Primark De Stature,Primark Projects Pvt Ltd,Under Construction,"4,499 / sq ft", 93.8 L,2085 ,Kompally,approval by RERA
38,2 BHK Apartment in Trishala Saffron Elite,Trishala Infrastructure,Under Construction,"6,000 / sq ft", 98.52 L,1642 ,Nallagandla Gachibowli,approval by RERA
39,3 BHK Apartment in Maruthi Elite,Maruthi Developers,Ready to move,"5,500 / sq ft", 90.75 L,1650 ,Nizampet,not approval by RERA
40,3 BHK Apartment in Riddhi Golden Nest,Riddhi Group,Ready to move,"6,300 / sq ft", 1.07 Cr,1700 ,Puppalaguda,not approval by RERA
41,2 BHK Apartment in Vajra The Royal Park,Vajra Builders And Developers,Under Construction,"4,200 / sq ft", 53.55 L,1275 ,Bowrampet,approval by RERA
42,3 BHK Villa in Saket Bhusatva Ph II,Saket Engineers Pvt Ltd,Under Construction,"7,749 / sq ft", 2.95 Cr,3813 ,Kompally,approval by RERA
43,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"6,350 / sq ft", 83.75 L,1319 ,Manikonda,approval by RERA
44,3 BHK Apartment in Signature Altius,Signature Avenues,Under Construction,"4,999 / sq ft", 1.21 Cr,2425 ,Kollur,approval by RERA
45,3 BHK Apartment in Candeur Crescent,Candeur Developers And Builders,Under Construction,"8,063 / sq ft", 2.07 Cr,2567 ,Serilingampally,approval by RERA
46,2 BHK Apartment in MKT Urban Tree,MKT Praneeth Homes,Under Construction,"3,800 / sq ft", 47.08 L,1239 ,Isnapur,approval by RERA
47,3 BHK Apartment in Vasavi Nandanam,Vasavi Group,Under Construction,"5,500 / sq ft", 1.04 Cr,1900 ,Jeedimetla,approval by RERA
48,3 BHK Apartment in Aavasa Constructions Emerald,Aavasa Constructions,Under Construction,"6,500 / sq ft", 1.52 Cr,2345 ,Saroor Nagar,approval by RERA
49,4 BHK Villa in RV Nirmaan Somwrita,R V Nirmaan Private Limited,Ready to move,"11,692 / sq ft", 3.41 Cr,2925 ,Kismatpur,not approval by RERA
50,2 BHK Apartment in Cybercity Oriana,Cyber City Oriana,Under Construction,"9,310 / sq ft", 1.35 Cr,1450 ,Kukatpally,approval by RERA
51,3 BHK Apartment in G K Casa Grande,G K Constructions,Under Construction,"5,752 / sq ft", 1.2 Cr,2088 ,Yapral,approval by RERA
52,2 BHK Apartment in Srija Twin Towers,Srija Infra Developers Hyderabad,Under Construction,"4,800 / sq ft", 54.67 L,1139 ,Dammaiguda,approval by RERA
53,2 BHK Apartment in GHR Callisto,GHR Infra,Under Construction,"4,799 / sq ft", 62.14 L,1295 ,Kollur,approval by RERA
54,4 BHK Villa in Vishal Sanjivini,Vishal Projects Limited,Under Construction,"10,439 / sq ft", 4.46 Cr,4282 ,Maheshwaram,approval by RERA
55,3 BHK Apartment in Hallmark Sunnyside,Hallmark Builders,Under Construction,"6,799 / sq ft", 1.12 Cr,1650 ,Manchirevula,approval by RERA
56,3 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,998 / sq ft", 79.71 L,1595 ,Kollur,approval by RERA
57,3 BHK Apartment in Syamantaka Emerald Heights,Symantaka Infra,Under Construction,"5,400 / sq ft", 79.92 L,1480 ,Bachupally,approval by RERA
58,3 BHK Apartment in Om Sree Heights,Om Sree Builders And Developers,Under Construction,"6,100 / sq ft", 1.47 Cr,2420 ,Yapral,approval by RERA
59,3 BHK Apartment in Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,Under Construction,"5,800 / sq ft", 75.69 L,1305 ,Saidabad,approval by RERA
60,2 BHK Apartment in Sterling Orchids,Sterling Homes PvtLtd,Under Construction,"4,799 / sq ft", 50.14 L,1045 ,Mallampet,approval by RERA
61,4 BHK Villa in NR Infra Ultimus,NR Infra Projects,Ready to move,"4,999 / sq ft", 91.18 L,1824 ,Rameswaram Banda,not approval by RERA
